CardNumber,AccountHolderFirstName,AccountHolderLastName,AccountType,AvailableBalance,CreditLimit,CurrentBalance,DailyTransactionLimit,Status,CreatedAt
9594406409097439,michael,abraham,debit,48287717,,,329641,active,2025-04-09T17:20:44Z
2104709521456232,michael,abraham,credit,,73398082,0,483628,active,2025-06-02T07:01:43Z
2474517123685160,broxton,alexander,debit,36495028,,,662635,active,2025-12-27T09:36:17Z
4965137098593174,broxton,alexander,credit,,88139442,0,528128,active,2025-12-31T19:57:58Z
4711382675869261,keneth,branch,debit,66679046,,,745557,active,2025-08-04T15:57:16Z
5377351585064317,keneth,branch,credit,,13304197,0,794962,active,2025-11-12T03:19:22Z
0053293183933529,david,dipalo-gross,debit,1380580,,,390742,active,2025-12-16T19:25:44Z
2102053950240268,david,dipalo-gross,credit,,16253750,0,881885,active,2026-01-27T08:31:11Z
5891783908470076,jason,flake,debit,58213475,,,819424,active,2026-01-04T08:14:02Z
7115921249985698,jason,flake,credit,,40580504,0,575754,active,2025-06-15T04:32:54Z
1836736576615654,fabrizio,fonseca,debit,51237831,,,260052,active,2025-03-14T08:55:55Z
1161528098851656,fabrizio,fonseca,credit,,97779125,0,153944,active,2025-10-04T04:40:38Z
1983273158514936,bryson,francis,debit,76291540,,,904710,active,2025-04-16T04:16:19Z
8094024455022961,bryson,francis,credit,,20042092,0,876961,active,2025-04-10T23:54:13Z
8366752545991022,luke,geyer,debit,83924836,,,152178,active,2025-03-20T21:42:32Z
6797643815614978,luke,geyer,credit,,90541015,0,423400,active,2026-02-05T16:34:22Z
0034324451076226,levi,hafen,debit,72481991,,,837851,active,2025-11-03T07:24:07Z
5160607159696641,levi,hafen,credit,,55362515,0,121868,active,2025-09-15T18:08:21Z
7516136968164535,yasli,kanimbag,debit,23566389,,,180088,active,2025-06-12T03:52:27Z
8355231243292127,yasli,kanimbag,credit,,63270725,0,891092,active,2025-05-16T05:31:17Z
9955271774490581,garrett,kilgore,debit,42662235,,,584171,active,2025-07-12T22:56:37Z
4119986798079359,garrett,kilgore,credit,,64837846,0,625720,active,2025-12-13T22:31:54Z
5182037788925546,kyanne,klein,debit,55864098,,,912084,active,2025-09-08T02:21:57Z
5151864492519254,kyanne,klein,credit,,89054172,0,832408,active,2025-03-26T11:51:22Z
1486528168505423,drew,larson,debit,46866537,,,903372,active,2025-06-25T17:45:52Z
2141888059296222,drew,larson,credit,,93992166,0,908553,active,2025-04-15T18:13:32Z
0653794738347359,ryan,larson,debit,60135981,,,584105,active,2025-10-07T11:27:27Z
6239240758181412,ryan,larson,credit,,37613427,0,571144,active,2025-06-11T19:06:33Z
1375060685361530,david,molina-gerboles,debit,43773158,,,203895,active,2025-04-02T13:09:51Z
2047277901043289,david,molina-gerboles,credit,,71836291,0,543813,active,2026-01-03T14:44:41Z
1036971179808932,nathan,monroy,debit,40093863,,,550088,active,2026-02-28T04:37:45Z
9621851888880670,nathan,monroy,credit,,86318288,0,505673,active,2025-08-21T15:12:59Z
5153195205852772,austin,rager,debit,19099606,,,166164,active,2025-07-09T22:41:48Z
0305486874034505,austin,rager,credit,,37670511,0,230520,active,2025-08-24T10:03:35Z
7652775841616928,andy,rich,debit,40428660,,,436813,active,2026-01-07T21:39:18Z
4479627570596401,andy,rich,credit,,91084775,0,768479,active,2025-08-05T12:27:09Z
2029702135569092,omar,rodriguez,debit,92142165,,,571777,active,2025-08-23T12:31:12Z
1928565431027868,omar,rodriguez,credit,,16805612,0,374491,active,2025-10-18T01:31:47Z
9473121727155188,tyler,rogel,debit,39971764,,,414526,active,2025-12-10T01:14:01Z
2583132370589578,tyler,rogel,credit,,18417598,0,741673,active,2026-01-15T21:40:35Z
7866912517785289,austin,sundloff,debit,25422677,,,905076,active,2025-12-24T10:27:02Z
0182422535841438,austin,sundloff,credit,,37836193,0,231249,active,2025-04-14T14:20:26Z
1829922995900109,aiden,wayman,debit,36521513,,,782758,active,2025-11-13T05:33:21Z
0784473647102767,aiden,wayman,credit,,63336370,0,313932,active,2025-09-07T04:50:40Z
5562588153714732,dayne,wyler,debit,13993839,,,153062,active,2025-10-03T11:04:21Z
6325953278774701,dayne,wyler,credit,,53780071,0,629995,active,2025-07-09T16:46:23Z
5004797480162456,jeff,compas,debit,50115279,,,147439,active,2025-08-07T22:23:25Z
3584168784991216,jeff,compas,credit,,51089831,0,933509,active,2025-09-08T06:36:12Z
