"Account Number","Balance","Card Expiration Date","Card Number","Credit Limit","Credit Used","CVV","Name","ZIP Code"
"ACCT100042","1052.45","11/26","4111111111111042","5000","4046.55","147","Madison Bell","63102"
"ACCT100038","845.99","07/28","4111111111111038","3000","2154.01","654","Avery Rogers","78702"
"ACCT100010","3050.77","10/30","4111111111111010","6000","2949.23","444","Isabella Clark","15213"
"ACCT100020","275.44","08/28","4111111111111020","2000","1724.56","579","Evelyn Hill","78701"
"ACCT100015","7800.00","07/26","4111111111111015","10000","2200.00","999","Alexander Young","64108"
"ACCT100039","111.11","02/27","4111111111111039","2000","1888.89","321","Isaac Reed","10002"
"ACCT100025","120.75","04/27","4111111111111025","2000","1879.25","654","David Nelson","15222"
"ACCT100003","12500.00","09/29","4111111111111003","15000","2500.00","789","Noah Thompson","10001"
"ACCT100047","9800.00","04/26","4111111111111047","12000","2200.00","963","Caleb Richardson","97209"
"ACCT100004","342.11","02/26","4111111111111004","2000","1657.89","321","Emma Rodriguez","30301"
"ACCT100032","480.12","11/27","4111111111111032","2000","1519.88","963","Zoe Parker","98109"
"ACCT100037","9200.00","04/30","4111111111111037","12000","2800.00","753","Nathan Morris","48226"
"ACCT100033","7450.00","01/28","4111111111111033","9000","1550.00","159","Anthony Evans","32803"
"ACCT100045","455.60","09/30","4111111111111045","2500","2044.40","741","Connor Rivera","46227"
"ACCT100031","1250.00","03/30","4111111111111031","4500","3250.00","852","Joshua Campbell","30303"
"ACCT100011","876.22","01/27","4111111111111011","3500","2623.78","555","Lucas Lewis","33101"
"ACCT100044","7600.00","06/27","4111111111111044","10000","2400.00","369","Layla Bailey","55403"
"ACCT100028","780.00","05/26","4111111111111028","3500","2720.00","258","Chloe Roberts","63101"
"ACCT100035","3800.00","09/29","4111111111111035","6000","2200.00","258","Ryan Collins","73344"
"ACCT100007","6700.00","12/28","4111111111111007","10000","3300.00","111","James Kim","98101"
"ACCT100024","8900.00","12/28","4111111111111024","10000","1100.00","753","Ella Baker","37203"
"ACCT100005","9821.55","07/30","4111111111111005","12000","2178.45","654","William Nguyen","73301"
"ACCT100009","999.99","08/26","4111111111111009","4000","3000.01","333","Benjamin Harris","19103"
"ACCT100008","420.50","03/29","4111111111111008","1500","1079.50","222","Sophia Anderson","85001"
"ACCT100014","2200.10","04/29","4111111111111014","5000","2799.90","888","Charlotte Allen","97201"
"ACCT100023","560.88","09/26","4111111111111023","2500","1939.12","852","Samuel Adams","70112"
"ACCT100036","150.33","12/27","4111111111111036","2500","2349.67","951","Victoria Stewart","94107"
"ACCT100018","330.00","05/30","4111111111111018","2500","2170.00","357","Harper Wright","32801"
"ACCT100006","150.75","05/27","4111111111111006","2500","2349.25","987","Ava Patel","60601"
"ACCT100030","999.00","08/28","4111111111111030","4000","3001.00","741","Lily Phillips","60602"
"ACCT100026","670.44","07/30","4111111111111026","3000","2329.56","321","Grace Mitchell","46225"
"ACCT100012","11200.00","06/28","4111111111111012","15000","3800.00","666","Mia Walker","55401"
"ACCT100002","785.44","11/27","4111111111111002","3000","2214.56","456","Olivia Martinez","90210"
"ACCT100048","50.00","07/28","4111111111111048","1000","950.00","159","Penelope Cox","30305"
"ACCT100016","640.89","02/28","4111111111111016","3000","2359.11","135","Amelia Hernandez","20001"
"ACCT100043","100.00","03/28","4111111111111043","1500","1400.00","258","Aaron Murphy","84115"
"ACCT100040","5400.00","05/29","4111111111111040","8000","2600.00","456","Scarlett Cook","20002"
"ACCT100013","58.32","09/27","4111111111111013","1000","941.68","777","Henry Hall","46204"
"ACCT100022","150.00","06/29","4111111111111022","3000","2850.00","951","Abigail Green","94105"
"ACCT100027","4550.00","02/29","4111111111111027","8000","3450.00","147","Christopher Perez","84111"
"ACCT100046","320.00","12/29","4111111111111046","2000","1680.00","852","Aria Cooper","32804"
"ACCT100029","2300.90","10/27","4111111111111029","5000","2699.10","369","Andrew Turner","55402"
"ACCT100019","9999.99","03/27","4111111111111019","12000","2000.01","468","Matthew Lopez","84101"
"ACCT100049","1200.00","10/27","4111111111111049","4000","2800.00","357","Wyatt Howard","98121"
"ACCT100050","875.75","01/30","4111111111111050","3500","2624.25","468","Riley Ward","84121"
"ACCT100041","600.00","08/30","4111111111111041","3000","2400.00","789","Julian Morgan","37209"
"ACCT100001","2450.32","04/28","4111111111111001","5000","2549.68","123","Liam Carter","84001"
"ACCT100017","1499.50","11/29","4111111111111017","4000","2500.50","246","Daniel King","48201"
"ACCT100034","60.75","06/26","4111111111111034","1500","1439.25","357","Hannah Edwards","97205"
"ACCT100021","4800.00","01/30","4111111111111021","7000","2200.00","159","Joseph Scott","43215"
