"CardNumber","AccountHolderName","AccountStatus","AvailableBalance","CreatedAt","CreditBalance","CreditLimit","CVVHash","ExpirationDate"
"4916338506082839","Diana Osei","ACTIVE","7812.01","2021-04-29T10:45:00Z","447.00","8000.00","a4d0f625","2028-06"
"4556737586899857","Nathan Graves","DELINQUENT","800.00","2021-07-19T11:00:00Z","4200.00","5000.00","b4e1a392","2025-10"
"5119717960986483","Samuel Nguyen","ACTIVE","2600.00","2023-01-25T11:30:00Z","400.00","3000.00","f6c3e958","2026-12"
"5425233430109912","Cascade Wellness Group","ACTIVE","8500.00","2020-01-27T09:45:00Z","6500.00","15000.00","f7c1e736","2027-12"
"5425233430109911","Elise Beaumont","ACTIVE","5900.00","2021-06-14T10:00:00Z","1100.00","7000.00","a7d6f281","2026-03"
"4916338506082837","Patrick Sullivan","DELINQUENT","500.00","2022-05-31T12:00:00Z","4500.00","5000.00","c4f9b625","2025-08"
"4532015112830372","Olivia Prescott","ACTIVE","4800.00","2021-08-08T10:30:00Z","1200.00","6000.00","a1d4f069","2027-04"
"5425233430109903","TechNova Solutions LLC","ACTIVE","18400.00","2019-11-22T09:00:00Z","11600.00","30000.00","c1d5f832","2028-04"
"5119717960986485","Nadia Karimov","DELINQUENT","900.00","2021-10-20T11:15:00Z","3100.00","4000.00","d6a3c958","2025-07"
"4532015112830370","Tyler Mcintosh","ACTIVE","750.00","2022-08-14T11:45:00Z","2250.00","3000.00","c7f2b069","2026-06"
"4532015112830368","Marcus Webb","ACTIVE","1100.00","2023-04-22T12:45:00Z","900.00","2000.00","e6b5d069","2026-07"
"5425233430109908","Alicia Vega","ACTIVE","3750.00","2020-11-04T14:45:00Z","1250.00","5000.00","d8a1c736","2027-07"
"4556737586899861","Hana Petrov","ACTIVE","5100.00","2020-06-21T15:45:00Z","1900.00","7000.00","d3a7c392","2028-03"
"4916338506082836","Ingrid Sorensen","ACTIVE","4100.00","2021-01-07T09:00:00Z","900.00","5000.00","d4a3c170","2027-01"
"4556737586899863","NorthStar IT Solutions","ACTIVE","22500.00","2018-04-23T14:30:00Z","7500.00","30000.00","b1e7a392","2029-05"
"4916338506082838","Redwood Ventures Inc","ACTIVE","28000.00","2018-10-30T13:00:00Z","12000.00","40000.00","b5e5a170","2029-01"
"4532015112830375","Vivian Chukwu","ACTIVE","4400.00","2020-08-19T11:00:00Z","2600.00","7000.00","d9a9c514","2028-08"
"5119717960986484","Coastal Breeze Hospitality","ACTIVE","16000.00","2019-02-14T09:30:00Z","9000.00","25000.00","e7b8d403","2027-11"
"4532015112830367","Bright Horizon Catering Inc","ACTIVE","22000.00","2020-05-03T13:15:00Z","8000.00","30000.00","f3a7d514","2028-01"
"5425233430109905","Summit Freight & Logistics","ACTIVE","27500.00","2019-04-05T08:00:00Z","22500.00","50000.00","a9d2f281","2027-08"
"4532015112830373","Aaron Fletcher","ACTIVE","1350.00","2023-07-03T12:15:00Z","650.00","2000.00","f1c9e514","2026-08"
"4556737586899855","Carlos Mendez","DELINQUENT","320.40","2022-01-30T08:45:00Z","4679.60","5000.00","d9b2e741","2025-06"
"4916338506082832","Sandra Okafor","ACTIVE","1250.75","2020-07-09T14:05:00Z","3749.25","5000.00","b7e4a910","2026-11"
"5119717960986478","Priya Nair","ACTIVE","7800.00","2021-09-15T11:30:00Z","200.00","8000.00","e4c6a023","2027-03"
"5425233430109910","Maverick Auto Group","ACTIVE","36000.00","2017-09-06T08:30:00Z","14000.00","50000.00","b8e1a736","2029-09"
"4556737586899856","Aisha Bello","ACTIVE","6750.00","2021-12-01T10:00:00Z","1250.00","8000.00","c5e3b847","2027-12"
"5119717960986479","Pinnacle Real Estate Group","ACTIVE","41000.00","2018-08-14T09:30:00Z","9000.00","50000.00","d1a4c958","2029-06"
"5425233430109909","Jerome Banks","SUSPENDED","0.00","2022-04-17T08:00:00Z","2000.00","2000.00","c9f6b281","2025-11"
"4916338506082835","Brittany Holloway","ACTIVE","2200.00","2023-06-05T13:00:00Z","300.00","2500.00","e7b6d625","2026-04"
"5119717960986487","Christopher Walton","ACTIVE","6600.00","2021-02-12T10:15:00Z","1400.00","8000.00","b6e3a958","2028-12"
"5119717960986486","Tony Ramirez","ACTIVE","1600.00","2023-10-07T08:15:00Z","900.00","2500.00","c5f8b403","2026-01"
"4556737586899862","Luke Harrington","ACTIVE","2400.00","2022-12-15T14:00:00Z","1600.00","4000.00","c2f2b847","2027-02"
"4556737586899864","Rosa Espinoza","ACTIVE","2100.00","2022-07-06T12:30:00Z","900.00","3000.00","a2d2f847","2026-02"
"5425233430109907","Apex Digital Marketing","ACTIVE","19500.00","2018-06-25T13:30:00Z","10500.00","30000.00","e8b4d281","2029-03"
"4556737586899858","Fatima Al-Hassan","ACTIVE","5600.00","2021-05-23T08:30:00Z","1400.00","7000.00","a5d9f847","2027-09"
"4532015112830374","Sterling Event Productions","ACTIVE","11500.00","2020-03-08T09:00:00Z","3500.00","15000.00","e0b4d069","2028-10"
"4532015112830369","GreenLeaf Organic Market","ACTIVE","9800.00","2020-09-17T09:45:00Z","5200.00","15000.00","d2a5c514","2028-11"
"4916338506082841","Brendan Marsh","CLOSED","0.00","2019-05-01T15:30:00Z","3000.00","3000.00","e3b0d625","2024-05"
"4916338506082840","Kevin Oduya","ACTIVE","3300.00","2022-09-11T13:45:00Z","1700.00","5000.00","f4c5e170","2027-06"
"4556737586899859","Darnell Cooper","ACTIVE","1800.00","2023-09-01T10:00:00Z","700.00","2500.00","f2c5e392","2026-10"
"5119717960986481","Blue Ridge Consulting LLC","ACTIVE","13000.00","2019-12-09T14:00:00Z","7000.00","20000.00","b3e0a958","2028-07"
"5425233430109904","Derek Fujimoto","SUSPENDED","0.00","2022-06-27T07:30:00Z","2500.00","2500.00","b2f9e736","2026-05"
"5425233430109906","Robert Diaz","CLOSED","0.00","2020-02-11T10:15:00Z","1500.00","1500.00","f1c8e736","2024-12"
"4532015112830366","James Whitfield","ACTIVE","4200.00","2021-03-14T10:22:00Z","800.00","5000.00","a3f8c2d1","2027-08"
"5119717960986480","Yuki Tanaka","ACTIVE","3200.00","2022-03-28T14:30:00Z","1800.00","5000.00","c8f3b403","2027-05"
"5119717960986482","Mei-Ling Zhou","ACTIVE","6200.00","2021-11-16T15:15:00Z","1800.00","8000.00","a6d7f403","2028-05"
"4916338506082834","Laura Kim","ACTIVE","4500.00","2022-10-10T15:20:00Z","500.00","5000.00","f0c7e170","2028-02"
"4556737586899860","Ironclad Security Services","ACTIVE","7200.00","2019-07-12T09:15:00Z","2800.00","10000.00","e3b2d847","2028-09"
"4532015112830371","Harborview Medical Supplies","ACTIVE","33000.00","2017-03-20T08:45:00Z","17000.00","50000.00","b0e8a514","2027-10"
"4916338506082833","Emily Thornton","ACTIVE","2900.50","2023-02-18T16:00:00Z","1099.50","4000.00","a8d1c625","2026-09"
